CaseOrder,Outage_sec_perweek,Yearly_equip_failure,InternetService,Bandwidth_GB_Year,Population,Area,Tenure
91,8.294186076,0,Fiber Optic,409.7486664,55519,Rural,2.188918771
92,15.19664016,0,DSL,2138.107161,15210,Urban,13.85488928
93,5.083995994,0,Fiber Optic,443.984031,3499,Suburban,3.273341151
94,6.942719201,1,DSL,2481.385603,14479,Suburban,19.75096265
95,9.834012571,0,DSL,2233.567181,4654,Suburban,18.38404445
96,11.0596826,0,Fiber Optic,1158.91369,26320,Suburban,4.672610857
97,8.834079073,1,Fiber Optic,529.40733,35,Rural,6.796299371
98,5.271228601,1,Fiber Optic,1956.7337,521,Suburban,12.97632235
99,9.394961367,0,Fiber Optic,2056.386979,17600,Rural,20.31163945
100,14.4754365,1,Fiber Optic,1067.373076,3324,Suburban,6.998814446
101,10.68311773,1,None,1806.135733,55122,Urban,14.46288204
102,13.79409442,0,Fiber Optic,1397.701335,4038,Urban,11.13472066
103,12.40165307,0,None,808.4305471,31927,Urban,2.542296644
104,10.24782033,0,Fiber Optic,1886.531937,19904,Rural,17.22596021
105,14.86100819,2,Fiber Optic,2294.781131,13000,Suburban,22.79214163
106,6.716953195,1,Fiber Optic,826.3438621,1444,Urban,3.823689744
107,8.124258176,0,DSL,2072.564168,2158,Urban,10.77094687
108,14.60903837,2,None,1436.793746,1800,Urban,13.08671185
109,12.65015936,2,DSL,1963.332683,30,Suburban,14.76468813
110,12.0281501,0,Fiber Optic,1324.164906,3682,Suburban,9.473091121
111,15.68043093,0,Fiber Optic,704.9375603,41733,Urban,5.197446331
112,11.30421466,1,Fiber Optic,888.6517305,630,Urban,6.577552683
113,10.26646787,0,Fiber Optic,377.0810282,15383,Rural,3.174571918
114,7.56618217,0,Fiber Optic,1606.489936,257,Urban,17.88002366
115,10.40677369,0,Fiber Optic,1431.409396,1012,Urban,13.12190056
116,7.146124361,0,Fiber Optic,2253.85247,20327,Urban,23.34617699
117,9.807530479,0,DSL,1353.29384,69,Urban,6.311709178
118,10.61217014,0,Fiber Optic,1701.457566,1130,Urban,12.58298231
119,5.785085772,1,DSL,1290.737183,4210,Rural,7.120096363
120,9.062879297,0,None,1403.270091,155,Urban,9.344886869
121,16.54443477,0,DSL,2603.903672,37711,Rural,22.37815032
122,4.539566699,0,None,1256.287854,1800,Urban,4.799514433
123,7.251198724,0,None,980.9935923,8028,Suburban,10.04672315
124,8.943293567,1,None,1347.869205,31859,Urban,8.156552837
125,12.57884215,1,None,1127.267848,16101,Suburban,7.992791229
126,11.64836306,1,DSL,1269.836202,20449,Suburban,7.231032028
127,6.076260652,0,None,1038.745378,161,Urban,4.627672042
128,11.75681641,0,DSL,1531.155367,29210,Urban,10.05306287
129,9.173739977,1,DSL,991.2441024,821,Urban,4.171044392
130,8.353693631,0,None,1244.296865,5846,Urban,4.568682641
131,10.74539526,1,DSL,1162.332926,4476,Rural,6.085030507
132,11.36323648,1,Fiber Optic,577.1157824,5529,Rural,2.730250735
133,2.310584634,0,DSL,1442.974877,25328,Rural,8.574901206
134,5.290318715,0,Fiber Optic,1577.208717,3736,Suburban,9.743201772
135,5.258274954,0,Fiber Optic,886.9398744,610,Suburban,9.482919033
136,7.157580014,0,Fiber Optic,1065.06443,34,Rural,8.447988841
137,2.120350511,0,Fiber Optic,951.886985,3199,Suburban,6.365998533
138,4.978546291,0,DSL,1404.435534,1135,Urban,7.251397592
139,6.547676875,1,Fiber Optic,1925.911722,1750,Suburban,14.64011644
140,7.410590719,1,DSL,1805.011298,1076,Urban,11.71637124
141,11.39765385,1,Fiber Optic,700.7343179,1692,Urban,4.13273503
142,11.29945603,0,Fiber Optic,513.237305,43123,Rural,2.887429547
143,11.30748265,2,Fiber Optic,717.3876564,2396,Suburban,3.303030246
144,10.31551212,1,DSL,1313.492851,12914,Urban,5.15825129
145,13.71555406,0,None,819.4195269,15171,Suburban,3.237560234
146,15.40917963,0,Fiber Optic,882.1160656,5157,Rural,2.733109234
147,11.9664542,0,None,724.7803356,828,Rural,3.180102025
148,10.18046877,0,DSL,1829.270014,98,Suburban,15.85983755
149,14.01485542,1,Fiber Optic,1668.199119,15671,Rural,11.73724209
150,14.62784306,0,None,1124.353152,2229,Urban,7.006240694
151,10.90517581,0,DSL,1316.239744,4982,Suburban,5.562130367
152,8.894475174,1,Fiber Optic,1637.201426,18575,Urban,14.53027663
153,10.50187888,0,Fiber Optic,951.8524406,15715,Urban,5.905906389
154,12.34250072,1,DSL,1248.097652,6252,Suburban,3.260462654
155,10.29380879,0,Fiber Optic,2220.255405,3834,Urban,18.91276578
156,8.512650562,1,Fiber Optic,1669.202417,19556,Urban,14.25617986
157,7.82671592,2,None,990.0555076,47732,Suburban,7.983887266
158,6.985590245,1,Fiber Optic,967.9819136,86926,Rural,5.969967132
159,11.40449185,0,Fiber Optic,2190.259876,69,Rural,19.95277818
160,10.44249511,0,None,1445.752781,15033,Suburban,14.85781115
161,15.38627887,0,Fiber Optic,528.6553088,2673,Urban,2.600063739
162,10.68024546,1,Fiber Optic,1296.481055,1879,Urban,11.92299244
163,10.62439366,0,DSL,1195.393037,358,Rural,5.972864167
164,10.91642397,0,None,1700.121992,32653,Suburban,10.87555535
165,8.580626195,0,None,2120.673828,10398,Rural,16.00330155
166,8.996933306,1,Fiber Optic,1238.421347,2081,Suburban,12.63074989
167,7.602570192,0,Fiber Optic,847.110799,3410,Suburban,8.4944392
168,9.217689334,1,Fiber Optic,1112.937102,377,Suburban,8.044444101
169,9.591529444,1,DSL,1623.045026,1917,Rural,12.07358377
170,13.36027908,0,None,1479.730181,2482,Urban,10.21634248
171,4.372034777,0,DSL,2144.735024,902,Suburban,15.50354683
172,10.59285179,3,Fiber Optic,1522.289512,43714,Suburban,13.88004531
173,12.81260566,0,Fiber Optic,1974.780054,3066,Suburban,19.48900163
174,3.767298987,0,Fiber Optic,1261.177198,13365,Rural,10.01771765
175,17.56798903,0,Fiber Optic,939.7181324,207,Rural,7.34059599
176,11.2369761,2,Fiber Optic,1357.062854,689,Suburban,12.64742067
177,8.54892416,1,DSL,1456.887443,99,Suburban,8.850426839
178,6.094109902,0,Fiber Optic,937.5863866,509,Rural,3.701557118
179,13.9077275,0,None,830.1193011,933,Urban,2.976033785
180,7.905333122,0,Fiber Optic,737.8564608,4991,Rural,5.522376826
181,12.53830949,1,Fiber Optic,1781.854862,1579,Rural,15.64596698
182,12.8219418,1,Fiber Optic,2464.577489,19669,Urban,23.00764441
183,8.941553742,0,DSL,2392.203409,530,Urban,17.24924155
184,10.51043963,0,Fiber Optic,1664.19271,1469,Suburban,13.01107597
185,11.86384439,0,DSL,1433.616898,324,Suburban,5.104082209
186,10.76051016,0,DSL,823.4933243,10482,Urban,3.521499924
187,11.05420024,0,DSL,1468.357421,3151,Suburban,8.08137067
188,8.174495258,0,None,590.7765801,1919,Rural,1.875430489
189,10.05388383,0,None,418.6206885,241,Suburban,5.587484456
190,7.045552801,0,DSL,1181.991846,673,Urban,7.007695148
191,8.957297136,0,DSL,733.4036934,2649,Urban,1.408375942
192,15.74015572,1,Fiber Optic,1719.173387,1655,Urban,11.64983735
193,13.41209586,0,DSL,1205.956363,1598,Suburban,2.964559883
194,14.89835355,1,Fiber Optic,1261.032763,6658,Urban,10.25635754
195,13.62135046,1,Fiber Optic,741.7766988,823,Suburban,3.892407013
196,14.95912113,1,Fiber Optic,932.6084359,13287,Suburban,3.226996711
197,11.741245,0,None,1708.614019,2394,Urban,15.87685513
198,7.765121655,1,DSL,1363.58603,9295,Urban,5.874064017
199,7.130431693,0,Fiber Optic,472.1057019,315,Suburban,3.756359276
200,8.359515606,0,None,558.2340556,2998,Rural,2.905283283
201,9.42799205,0,Fiber Optic,815.194738,178,Suburban,1.474810061
202,10.95510131,1,None,2007.303617,1423,Rural,18.56165869
203,10.8621377,0,DSL,2088.48083,1935,Suburban,12.39088509
204,7.352533505,0,None,1430.761492,90517,Suburban,14.17192333
205,11.38860234,0,None,822.3008694,239,Suburban,3.86023041
206,9.580144161,0,Fiber Optic,2059.200998,1003,Suburban,17.72593456
207,10.79191234,0,Fiber Optic,617.542543,2817,Suburban,3.043063167
208,9.982341124,0,Fiber Optic,758.4775985,884,Suburban,5.827112819
209,6.511921085,1,None,894.6733856,11245,Suburban,4.648958177
210,10.70500472,0,DSL,1639.898269,19215,Suburban,11.96274778
211,11.58410296,1,Fiber Optic,710.7541633,2733,Urban,4.525864256
212,8.01651453,1,Fiber Optic,1092.226042,1204,Suburban,8.038308899
213,15.12148226,0,DSL,757.0097075,62430,Rural,1.416592892
214,12.63643487,0,None,2301.850721,1028,Suburban,19.83504645
215,16.68178185,0,DSL,2401.406545,28666,Urban,15.85002222
216,11.08409914,1,None,1535.788894,44451,Rural,15.94935291
217,12.99948061,1,DSL,1536.589816,266,Urban,11.94550648
218,11.17949466,1,Fiber Optic,2153.778421,33649,Suburban,16.03360405
219,7.369412654,1,DSL,2409.195918,1994,Urban,21.29342532
220,9.84688181,0,DSL,1342.862457,1869,Urban,4.95598008
221,18.19542503,0,DSL,1046.054674,27590,Suburban,2.73951266
222,13.53989069,1,Fiber Optic,1204.479468,21792,Rural,4.973046104
223,5.458806701,0,Fiber Optic,1616.908193,8770,Rural,10.28430068
224,12.0772854,1,Fiber Optic,345.0099528,3378,Rural,2.581692044
225,6.918984305,0,DSL,1427.088655,1748,Rural,6.945736396
226,14.84155042,0,DSL,1452.334634,1598,Suburban,9.999416271
227,12.66717474,0,Fiber Optic,795.4957358,4335,Urban,6.035737465
228,11.43786808,1,DSL,1333.894229,2299,Suburban,9.004964377
229,6.915228797,0,DSL,1402.20491,12275,Suburban,5.071456681
230,11.30215199,1,Fiber Optic,1447.196935,1065,Urban,12.02106494
231,9.513085538,0,DSL,1662.510936,24438,Suburban,5.049303717
232,9.497106973,0,Fiber Optic,1707.641161,47974,Suburban,18.17247008
233,12.21852573,0,DSL,2181.752793,788,Urban,15.31997698
234,8.272244827,0,Fiber Optic,1575.683555,16882,Rural,16.0708543
235,10.24857935,0,None,1029.489242,165,Rural,7.873371451
236,6.743431946,1,None,2370.184448,109,Urban,23.62866494
237,12.4703522,0,DSL,3309.919373,11116,Suburban,25.8634566
238,7.913676085,0,DSL,1623.273925,1083,Rural,9.405224809
239,9.362849722,0,Fiber Optic,1146.199921,15604,Suburban,12.84490034
240,17.41324465,1,DSL,2229.268031,37,Urban,16.59325254
241,13.43700846,0,DSL,2512.36494,57344,Rural,20.35456039
242,11.95206054,1,Fiber Optic,1297.388488,39035,Suburban,12.00925702
243,4.550449856,1,None,283.39178,27698,Rural,2.861423443
244,6.09060584,0,DSL,1947.7853,13,Rural,14.20349453
245,10.2863601,1,Fiber Optic,849.1972541,3639,Urban,4.98152586
246,11.17709222,2,None,2131.359827,2950,Rural,23.12150846
247,14.12145884,0,DSL,1464.035068,15041,Rural,6.307178205
248,7.799780591,0,None,1381.538548,5188,Suburban,12.73622643
249,7.122072827,0,None,1248.626874,1317,Suburban,12.00466914
250,9.329902365,0,Fiber Optic,558.3751762,4755,Rural,2.243757398
251,7.509389052,0,Fiber Optic,676.2178659,3658,Suburban,1.583394702
252,15.06990851,0,None,1641.938696,30733,Suburban,14.23487852
253,9.321265424,0,None,1811.964373,2431,Rural,15.28108311
254,3.564651961,0,DSL,1066.632555,529,Urban,4.135827839
255,7.779622319,0,None,1514.131966,346,Urban,9.740709475
256,10.74985413,1,DSL,1189.549671,110,Suburban,1.213704886
257,7.738373361,0,Fiber Optic,1114.020282,34993,Rural,11.86252419
258,12.01267388,0,DSL,1078.291303,36260,Urban,2.416685985
259,14.04748759,1,None,854.2977548,671,Rural,6.73327535
260,3.11231175,1,DSL,1489.077486,41839,Rural,6.549035393
261,8.284591121,0,Fiber Optic,1649.312808,16546,Rural,10.57197066
262,6.269792565,0,Fiber Optic,905.1959227,4,Urban,3.379756569
263,9.803905459,1,None,684.6318529,32603,Rural,8.959047529
264,8.571019738,0,DSL,1662.533055,607,Suburban,10.23679934
265,10.00344746,1,DSL,2436.57146,1067,Rural,14.96503088
266,4.255224068,1,Fiber Optic,2677.74041,7655,Rural,23.79323993
267,11.2714618,0,Fiber Optic,1779.309609,5981,Urban,11.45675389
268,8.477982632,0,None,1494.716409,655,Urban,11.04076215
269,9.753145376,1,DSL,1740.72604,16395,Urban,7.425503428
270,14.57387887,0,None,704.7552669,198,Urban,2.411712843
271,13.13441554,1,Fiber Optic,558.4710883,3473,Suburban,2.009542213
272,11.62771397,0,None,1282.279049,2992,Rural,9.068119482
273,6.114030983,1,Fiber Optic,287.8189836,2914,Suburban,1.926789854
274,12.76603868,1,None,1129.529441,617,Suburban,11.77389421
275,6.348897952,0,Fiber Optic,394.0148722,444,Urban,2.585228303
276,16.10939031,1,Fiber Optic,1302.230824,48969,Urban,9.517703088
277,7.151598137,0,Fiber Optic,970.4682919,17307,Rural,9.532523799
278,4.575363954,0,Fiber Optic,2522.88913,25764,Suburban,23.103996
279,13.42263904,0,Fiber Optic,682.9871863,671,Suburban,5.104873611
280,3.559550725,0,DSL,1537.109931,3064,Suburban,6.877942744
281,5.971214226,0,Fiber Optic,1961.923965,25619,Suburban,21.17839683
282,7.287197615,0,DSL,676.1747964,22547,Suburban,1.586331702
283,11.30031859,0,Fiber Optic,929.2607767,545,Suburban,3.778174405
284,10.26519974,0,DSL,1849.484087,398,Suburban,11.58276897
285,16.28075484,0,None,1998.680227,217,Urban,11.62258922
286,10.96553586,0,None,1898.877878,32084,Rural,20.78013031
287,10.93514898,1,DSL,992.3501481,5148,Suburban,3.940297464
288,2.98020454,0,Fiber Optic,994.6354785,2526,Suburban,11.38099891
289,17.05256354,1,Fiber Optic,954.0290712,30097,Urban,1.473304337
290,12.29165611,1,DSL,1775.838153,703,Suburban,12.75609778
291,10.32744663,1,DSL,1297.050577,7334,Urban,6.253919786
292,9.22949351,0,Fiber Optic,1746.405243,61045,Rural,18.9537053
293,10.02758972,1,DSL,1698.465833,117,Rural,9.640061615
294,7.259022839,0,None,665.4740915,29426,Urban,5.201330266
295,10.97274944,1,DSL,1886.153328,26659,Rural,12.42120946
296,11.87042081,0,Fiber Optic,958.6989908,12478,Urban,8.134438503
297,9.531063533,0,Fiber Optic,1446.203986,11294,Rural,14.86764776
298,8.798065013,0,None,774.6125757,3264,Urban,5.548652108
299,15.27146446,1,None,1939.811149,4926,Rural,18.35541838
300,7.014445177,1,Fiber Optic,1165.564309,473,Urban,7.62779591
301,10.62019312,0,Fiber Optic,750.8768234,20925,Suburban,4.439685675
302,10.04585562,1,None,1292.3206,114,Urban,11.16903388
303,10.88047174,2,DSL,2335.130986,715,Suburban,14.14101821
304,9.975481565,0,Fiber Optic,769.8534863,110,Suburban,3.212400569
305,7.248946018,2,Fiber Optic,1729.837284,19869,Rural,16.84928353
306,9.53003591,1,None,649.3891796,13768,Suburban,3.834727471
307,6.592317798,0,None,823.0046464,604,Rural,6.198230305
308,8.124261532,0,DSL,1107.882056,20731,Rural,4.216732972
309,11.44655577,0,None,683.8622599,666,Rural,4.355064781
310,10.1755818,0,DSL,1301.49424,729,Urban,4.030250374
311,13.7362126,2,None,1079.012505,19659,Rural,9.915959247
312,13.93422217,0,None,1283.463995,22569,Suburban,9.821728297
313,3.405050602,0,Fiber Optic,987.653655,2019,Rural,9.183905417
314,10.69284712,1,Fiber Optic,1088.263081,1566,Rural,8.892893007
315,10.11985468,0,None,583.0259559,38579,Rural,7.661226872
316,5.863179258,0,DSL,1778.733282,3232,Rural,12.4767812
317,13.357551,0,Fiber Optic,900.4043765,566,Urban,2.462148717
318,14.04061351,0,Fiber Optic,1693.576099,659,Urban,14.09942339
319,4.586902043,0,Fiber Optic,1143.826239,1253,Rural,7.272649386
320,11.03563726,0,None,886.340074,23517,Suburban,3.999030359
321,11.32768159,1,Fiber Optic,373.2772664,5886,Urban,3.115945151
322,5.307097721,0,Fiber Optic,1245.328696,24628,Rural,13.67931764
323,8.993783986,0,Fiber Optic,1564.936841,582,Suburban,14.6728104
324,11.05733159,0,DSL,1354.401018,34669,Urban,5.953547112
325,8.702618087,0,DSL,1971.429689,1286,Urban,11.74635394
326,7.045651851,2,None,623.7865683,3032,Urban,5.954024226
327,12.61411193,0,DSL,3040.553763,312,Urban,22.8577804
328,9.703658153,1,DSL,864.7036995,15586,Urban,1.407866545
329,8.220453321,1,None,2042.113893,422,Suburban,21.08265979
330,8.816497541,1,None,1973.661316,26381,Urban,11.10356439
331,11.11756812,0,DSL,1755.645123,396,Urban,9.734064703
332,13.07119875,1,Fiber Optic,1758.735654,4270,Suburban,12.21754865
333,12.10865222,0,None,557.0118807,3098,Rural,2.423722078
334,9.681031902,0,DSL,2205.334092,20606,Suburban,13.66061487
335,10.49495185,0,DSL,1451.201108,5978,Suburban,8.701581043
336,7.535866122,0,Fiber Optic,609.0598401,340,Rural,4.844060027
337,8.713443753,0,DSL,1221.100604,926,Rural,6.485034974
338,7.191637555,0,Fiber Optic,745.0493094,1543,Suburban,1.14113241
339,12.2870805,0,DSL,1220.452161,7256,Rural,7.69213424
340,10.66015784,0,Fiber Optic,1771.472597,683,Urban,13.73012915
341,7.044096971,0,Fiber Optic,1201.484293,6910,Rural,5.690013293
342,12.14893118,0,None,764.3017535,7496,Urban,6.68894661
343,12.71107869,0,Fiber Optic,1022.415622,641,Urban,9.475983046
344,9.759360165,0,DSL,1284.442486,2816,Rural,4.893221514
345,2.816821044,1,None,289.9240291,58,Urban,2.656915117
346,9.617602049,0,DSL,1718.600163,1277,Rural,8.381515693
347,13.06640293,1,DSL,2494.633068,11472,Suburban,14.53315436
348,8.669204519,0,DSL,2270.749222,9762,Urban,13.62832619
349,13.97477268,0,None,567.6177123,617,Urban,1.281566108
350,11.19861363,0,Fiber Optic,380.0501404,307,Suburban,3.365552603
351,10.18921185,0,DSL,1436.408211,8447,Suburban,5.397827503
352,9.518819692,0,DSL,1852.503069,35345,Urban,9.001231999
353,11.01996949,2,Fiber Optic,1312.008382,41155,Rural,10.9750814
354,14.91100172,0,Fiber Optic,863.0820861,17007,Rural,7.825845378
355,11.17971961,0,None,1854.793303,115,Rural,14.12966281
356,12.16826675,0,DSL,1778.431765,1079,Urban,14.66914461
357,17.39213562,0,Fiber Optic,764.2419259,22924,Rural,5.388165017
358,12.02476736,0,None,307.018806,3241,Suburban,2.810825808
359,6.6769165,0,DSL,1179.782483,23155,Suburban,2.485229169
360,11.78679636,0,None,1040.034575,19324,Suburban,2.051069457
361,7.846521648,0,None,1080.159892,34460,Urban,6.10108047
362,5.670110512,0,Fiber Optic,775.5613336,15900,Urban,4.950398978
363,13.37036883,0,None,1061.587971,2945,Suburban,10.16660427
364,9.826229752,0,Fiber Optic,1334.403775,20450,Urban,12.29558653
365,12.07226102,0,Fiber Optic,2346.143947,892,Rural,24.8868126
366,15.42491471,1,DSL,1491.768656,14931,Urban,9.660361769
367,8.601959705,0,None,927.1279646,104,Urban,7.663625954
368,8.787582345,0,None,686.9354616,21997,Rural,5.25445262
369,6.362190982,2,Fiber Optic,1460.513443,5302,Urban,13.59137366
370,9.507249087,1,DSL,1942.250203,10237,Suburban,12.3492819
371,12.06831191,1,Fiber Optic,1923.549943,19582,Suburban,18.37317391
372,5.600227586,0,Fiber Optic,1239.802036,740,Urban,8.498042024
373,13.15969677,0,Fiber Optic,2499.186161,51767,Suburban,22.33583015
374,6.18537496,0,None,302.3848209,2001,Urban,1.541545443
375,9.089998883,0,DSL,1865.48625,482,Suburban,12.78453216
376,11.21142669,0,None,908.7910203,932,Suburban,2.527681829
377,5.868957217,0,None,790.9469893,222,Suburban,7.065506244
378,2.657311067,0,DSL,956.2636975,467,Rural,4.258552081
379,13.75498892,0,Fiber Optic,639.3261343,7079,Urban,4.801969514
380,11.07079287,0,DSL,1572.045646,32929,Urban,5.204853319
381,10.74788638,1,Fiber Optic,3099.922244,6923,Urban,32.0730133
382,15.68552752,2,DSL,1599.727567,19201,Rural,11.16847385
383,10.08605721,0,Fiber Optic,2188.672399,2080,Rural,16.8000196
384,16.26782621,0,Fiber Optic,1586.699491,5983,Suburban,17.6210362
385,4.946414499,0,Fiber Optic,1828.279015,46064,Rural,17.18829795
386,14.19610787,0,DSL,1866.966586,32525,Rural,17.52138221
387,15.83394061,0,DSL,1718.555203,9562,Suburban,10.4103675
388,7.663279641,0,Fiber Optic,556.2193844,883,Urban,3.310281145
389,7.43893815,1,None,1035.183038,53,Suburban,2.993625911
390,11.70582668,0,None,1580.43019,1512,Suburban,16.26037537
391,13.60774223,1,Fiber Optic,703.6927423,4813,Suburban,3.045064701
392,6.02604588,0,Fiber Optic,1842.258692,11435,Suburban,15.35762157
393,8.273678516,0,None,1167.271182,16177,Rural,5.940902789
394,9.424686492,0,None,1007.289786,170,Urban,5.988505209
395,10.05990041,0,DSL,1500.69101,31845,Suburban,7.138784756
396,12.69711858,1,DSL,1404.773397,40,Rural,8.951793883
397,10.3853182,0,DSL,1342.310858,586,Suburban,4.221959275
398,10.48123205,0,None,1250.94478,8303,Urban,9.797427154
399,13.43076227,0,Fiber Optic,1710.958869,924,Urban,10.90397471
400,7.951590644,0,Fiber Optic,169.3992798,758,Suburban,1.665591776
401,9.100502767,0,Fiber Optic,1261.554565,723,Urban,8.611218573
402,11.9086306,0,DSL,794.9581116,39,Suburban,1.28507969
403,5.304627269,1,Fiber Optic,713.364269,6250,Suburban,1.379696124
404,12.07096717,0,None,952.5914921,17,Rural,3.084376591
405,7.336943024,0,DSL,778.6094503,2550,Rural,2.43754565
