CaseOrder,Churn,Outage_sec_perweek,Yearly_equip_failure,Income,Email,Contacts,Techie,Contract,Multiple,Tenure,MonthlyCharge,Bandwidth_GB_Year
75,Yes,12.92303286,0,1509.52,16,0,No,Month-to-month,Yes,2.378630018,214.966286,648.7471776
76,Yes,12.43301273,0,81124.71,13,0,No,One year,Yes,5.43464555,270.160419,1648.102673
77,Yes,7.607663559,0,11795.57,11,0,No,Two Year,No,1.092361222,200.165175,768.0874545
78,No,7.442789019,1,74794.84,10,2,No,Two Year,No,20.13981517,149.937833,2426.030626
79,Yes,13.04429298,0,19038.78,18,1,No,Month-to-month,Yes,24.64873861,240.114868,2660.503932
80,No,14.89762162,0,79167.77,17,0,No,Month-to-month,No,9.677739656,127.495766,1129.549713
81,Yes,13.79387475,1,37428.26,13,2,No,One year,No,9.82814183,187.609354,1771.286466
82,No,15.66367593,0,45148.38,6,1,Yes,Month-to-month,Yes,7.832238337,169.992756,943.3391244
83,No,8.513410306,0,74855.47,13,3,No,Two Year,Yes,19.45250317,192.456745,1907.226083
84,No,8.265002035,0,45323.86,10,1,No,Month-to-month,No,14.34766616,120.004928,1885.939118
85,No,8.6026551,0,71596.14,11,0,No,One year,Yes,2.257358355,195.006206,631.7435653
86,No,6.03993035,0,10389.95,15,1,No,One year,No,2.358129018,139.95684,562.6095219
87,No,14.6040829,0,19657.14,12,3,Yes,Month-to-month,No,4.650578623,114.983787,593.8572264
88,Yes,7.274007029,1,27827.03,13,1,No,Month-to-month,Yes,3.721772616,207.638588,777.3060718
89,Yes,8.913898759,0,15609.05,12,4,No,Month-to-month,No,3.76663012,187.609354,1393.202392
90,No,11.59313893,2,19815.63,13,0,No,One year,No,4.151256695,134.950905,393.6524652
91,Yes,8.294186076,0,58482.9,13,0,No,Month-to-month,Yes,2.188918771,192.470522,409.7486664
92,Yes,15.19664016,0,41656.53,9,1,No,Month-to-month,No,13.85488928,222.628057,2138.107161
93,No,5.083995994,0,115510.46,3,1,No,Two Year,No,3.273341151,162.468917,443.984031
94,Yes,6.942719201,1,15841.19,7,1,No,Two Year,Yes,19.75096265,159.979358,2481.385603
95,No,9.834012571,0,81127.41,7,1,No,Two Year,Yes,18.38404445,184.979684,2233.567181
96,Yes,11.0596826,0,24270.88,13,0,No,Month-to-month,No,4.672610857,245.145743,1158.91369
97,No,8.834079073,1,54466.33,17,0,No,Month-to-month,No,6.796299371,124.97808,529.40733
98,Yes,5.271228601,1,64816.84,14,1,No,Month-to-month,No,12.97632235,187.484705,1956.7337
99,No,9.394961367,0,103311.26,15,1,No,Month-to-month,No,20.31163945,162.500692,2056.386979
100,No,14.4754365,1,40211.04,11,1,No,One year,Yes,6.998814446,182.467607,1067.373076
101,Yes,10.68311773,1,58077.38,12,1,No,Month-to-month,No,14.46288204,222.660939,1806.135733
102,No,13.79409442,0,43466.35,10,1,No,One year,Yes,11.13472066,182.467607,1397.701335
103,Yes,12.40165307,0,23289.77,19,1,No,Month-to-month,Yes,2.542296644,220.161527,808.4305471
104,No,10.24782033,0,49158.49,9,1,No,Two Year,No,17.22596021,169.937833,1886.531937
105,Yes,14.86100819,2,3805.84,16,0,No,Month-to-month,Yes,22.79214163,204.963371,2294.781131
106,Yes,6.716953195,1,52616.27,10,2,No,Month-to-month,Yes,3.823689744,204.963371,826.3438621
107,Yes,8.124258176,0,30550.42,18,1,No,Month-to-month,Yes,10.77094687,245.128318,2072.564168
108,Yes,14.60903837,2,12154.01,11,0,No,Month-to-month,Yes,13.08671185,172.473314,1436.793746
109,Yes,12.65015936,2,30649.31,9,2,No,Month-to-month,Yes,14.76468813,172.456745,1963.332683
110,Yes,12.0281501,0,31417.33,14,0,No,Month-to-month,Yes,9.473091121,194.976769,1324.164906
111,No,15.68043093,0,55861.19,16,1,No,Month-to-month,No,5.197446331,137.439154,704.9375603
112,Yes,11.30421466,1,9044.26,18,3,No,Two Year,Yes,6.577552683,192.470522,888.6517305
113,Yes,10.26646787,0,25381.66,10,1,No,Month-to-month,No,3.174571918,159.951231,377.0810282
114,No,7.56618217,0,65064.31,9,0,No,Month-to-month,No,17.88002366,112.455141,1606.489936
115,Yes,10.40677369,0,12527.51,14,2,Yes,Month-to-month,No,13.12190056,174.961766,1431.409396
116,No,7.146124361,0,35499.06,13,3,Yes,Month-to-month,No,23.34617699,162.452604,2253.85247
117,No,9.807530479,0,26282.4,10,1,Yes,One year,Yes,6.311709178,137.483594,1353.29384
118,No,10.61217014,0,51237.28,12,3,No,Two Year,Yes,12.58298231,275.133571,1701.457566
119,Yes,5.785085772,1,64222.21,16,1,No,Month-to-month,No,7.120096363,127.442069,1290.737183
120,Yes,9.062879297,0,11014.98,11,2,Yes,Two Year,No,9.344886869,210.138,1403.270091
121,No,16.54443477,0,21172.49,13,1,Yes,Two Year,Yes,22.37815032,147.456419,2603.903672
122,Yes,4.539566699,0,26130.78,8,2,No,One year,Yes,4.799514433,242.657291,1256.287854
123,No,7.251198724,0,36478.21,14,2,Yes,Month-to-month,No,10.04672315,114.983787,980.9935923
124,No,8.943293567,1,54533.63,15,2,No,Month-to-month,No,8.156552837,187.656013,1347.869205
125,No,12.57884215,1,37103.18,9,3,No,Two Year,Yes,7.992791229,149.991327,1127.267848
126,No,11.64836306,1,74679.84,11,0,Yes,Two Year,Yes,7.231032028,124.960655,1269.836202
127,Yes,6.076260652,0,95028.57,13,0,No,Month-to-month,Yes,4.627672042,220.161527,1038.745378
128,No,11.75681641,0,34281.1,9,0,No,Two Year,Yes,10.05306287,172.48852,1531.155367
129,No,9.173739977,1,36240.81,14,0,No,Two Year,No,4.171044392,120.004928,991.2441024
130,Yes,8.353693631,0,9515.64,11,4,No,Month-to-month,Yes,4.568682641,220.161527,1244.296865
131,Yes,10.74539526,1,125814.88,10,0,No,Month-to-month,No,6.085030507,139.965008,1162.332926
132,No,11.36323648,1,12995.68,12,1,No,Month-to-month,No,2.730250735,159.951231,577.1157824
133,Yes,2.310584634,0,77531.43,14,1,No,Month-to-month,Yes,8.574901206,184.949594,1442.974877
134,Yes,5.290318715,0,87354.99,10,0,No,Month-to-month,Yes,9.743201772,252.637807,1577.208717
135,No,5.258274954,0,76567.85,8,1,No,Month-to-month,No,9.482919033,112.455141,886.9398744
136,No,7.157580014,0,30663.52,12,0,No,Two Year,Yes,8.447988841,179.979358,1065.06443
137,No,2.120350511,0,122957.19,17,0,No,One year,Yes,6.365998533,202.443347,951.886985
138,No,4.978546291,0,31600.92,12,2,No,One year,Yes,7.251397592,197.472533,1404.435534
139,Yes,6.547676875,1,74638.78,10,3,No,One year,Yes,14.64011644,255.155493,1925.911722
140,Yes,7.410590719,1,32652.3,9,0,Yes,Month-to-month,Yes,11.71637124,174.976769,1805.011298
141,No,11.39765385,1,63650.54,8,1,No,Two Year,Yes,4.13273503,169.992756,700.7343179
142,Yes,11.29945603,0,28622.6,14,1,No,Month-to-month,Yes,2.887429547,192.440432,513.237305
143,No,11.30748265,2,50252.79,15,0,No,Month-to-month,No,3.303030246,182.460772,717.3876564
144,No,10.31551212,1,19800.81,11,2,No,One year,No,5.15825129,139.965008,1313.492851
145,Yes,13.71555406,0,35954.77,14,1,No,Month-to-month,No,3.237560234,137.461553,819.4195269
146,Yes,15.40917963,0,36342.31,15,2,No,Month-to-month,Yes,2.733109234,217.472533,882.1160656
147,Yes,11.9664542,0,48715.53,17,1,No,Two Year,No,3.180102025,210.138,724.7803356
148,No,10.18046877,0,23204.98,10,2,No,Two Year,No,15.85983755,104.964303,1829.270014
149,Yes,14.01485542,1,35302.52,16,1,No,Month-to-month,Yes,11.73724209,262.610632,1668.199119
150,Yes,14.62784306,0,54895.16,17,2,No,Month-to-month,No,7.006240694,152.488401,1124.353152
151,Yes,10.90517581,0,60398.06,10,2,No,One year,Yes,5.562130367,174.974431,1316.239744
152,No,8.894475174,1,8115.88,8,0,No,One year,No,14.53027663,220.118516,1637.201426
153,No,10.50187888,0,33858.66,13,0,Yes,Month-to-month,No,5.905906389,162.452604,951.8524406
154,Yes,12.34250072,1,29950.47,12,2,No,Month-to-month,Yes,3.260462654,184.961033,1248.097652
155,No,10.29380879,0,49421.69,12,3,No,One year,Yes,18.91276578,217.483972,2220.255405
156,No,8.512650562,1,11061.05,11,2,No,Two Year,No,14.25617986,220.118516,1669.202417
157,Yes,7.82671592,2,15388.32,13,1,Yes,One year,No,7.983887266,187.642236,990.0555076
158,No,6.985590245,1,20624.31,9,2,Yes,Two Year,No,5.969967132,174.961766,967.9819136
159,Yes,11.40449185,0,47877.81,12,0,No,Two Year,Yes,19.95277818,252.637807,2190.259876
160,No,10.44249511,0,46154.17,13,1,No,One year,No,14.85781115,130.024412,1445.752781
161,Yes,15.38627887,0,107111.8,12,2,No,Month-to-month,No,2.600063739,162.482694,528.6553088
162,Yes,10.68024546,1,10403.59,13,2,No,Month-to-month,Yes,11.92299244,182.467607,1296.481055
163,No,10.62439366,0,22412.6,13,0,No,Two Year,No,5.972864167,139.934918,1195.393037
164,Yes,10.91642397,0,19476.27,13,1,Yes,Two Year,No,10.87555535,200.165175,1700.121992
165,Yes,8.580626195,0,96382.76,14,0,No,Two Year,No,16.00330155,202.682861,2120.673828
166,No,8.996933306,1,28022.56,11,0,No,Two Year,No,12.63074989,159.951231,1238.421347
167,No,7.602570192,0,35478.4,7,2,No,Month-to-month,No,8.4944392,149.948316,847.110799
168,Yes,9.217689334,1,10155.51,12,1,No,Month-to-month,No,8.044444101,149.959755,1112.937102
169,No,9.591529444,1,87537.25,14,0,No,Two Year,Yes,12.07358377,137.469817,1623.045026
170,Yes,13.36027908,0,34112.1,12,0,No,One year,No,10.21634248,187.656013,1479.730181
171,Yes,4.372034777,0,32653.51,7,1,No,Month-to-month,Yes,15.50354683,164.985293,2144.735024
172,Yes,10.59285179,3,35321.46,11,0,No,Month-to-month,No,13.88004531,159.965008,1522.289512
173,No,12.81260566,0,49277.48,10,1,No,One year,Yes,19.48900163,172.462354,1974.780054
174,Yes,3.767298987,0,37297.82,11,0,No,Two Year,Yes,10.01771765,204.949594,1261.177198
175,No,17.56798903,0,14928.96,14,2,No,One year,No,7.34059599,147.473844,939.7181324
176,Yes,11.2369761,2,24702.68,11,3,Yes,Month-to-month,No,12.64742067,162.471255,1357.062854
177,No,8.54892416,1,87535.71,15,0,No,Two Year,No,8.850426839,119.95684,1456.887443
178,Yes,6.094109902,0,63166.87,11,2,No,One year,No,3.701557118,207.609354,937.5863866
179,No,13.9077275,0,11856.81,14,1,No,One year,Yes,2.976033785,194.999168,830.1193011
180,No,7.905333122,0,27326.79,14,1,No,Two Year,No,5.522376826,174.975543,737.8564608
181,Yes,12.53830949,1,12779.23,9,2,No,Month-to-month,Yes,15.64596698,240.114868,1781.854862
182,Yes,12.8219418,1,25519.91,12,1,No,Month-to-month,Yes,23.00764441,240.114868,2464.577489
183,No,8.941553742,0,46871.21,10,0,No,One year,No,17.24924155,139.983006,2392.203409
184,Yes,10.51043963,0,77383.72,12,0,No,Month-to-month,Yes,13.01107597,240.114868,1664.19271
185,Yes,11.86384439,0,47395.3,11,3,No,Two Year,Yes,5.104082209,209.993134,1433.616898
186,No,10.76051016,0,90977.74,10,3,No,Two Year,Yes,3.521499924,147.456419,823.4933243
187,No,11.05420024,0,135727.71,14,0,No,Month-to-month,No,8.08137067,107.495766,1468.357421
188,Yes,8.174495258,0,47726.25,8,5,No,Month-to-month,No,1.875430489,152.502178,590.7765801
189,No,10.05388383,0,51721.64,12,2,No,One year,No,5.587484456,79.978861,418.6206885
190,No,7.045552801,0,41531.03,13,2,No,Two Year,No,7.007695148,142.482694,1181.991846
191,No,8.957297136,0,33504.8,14,1,No,One year,No,1.408375942,117.439154,733.4036934
192,Yes,15.74015572,1,34197.3,14,2,No,Month-to-month,No,11.64983735,220.132293,1719.173387
193,Yes,13.41209586,0,11518.58,11,3,Yes,Two Year,No,2.964559883,152.455519,1205.956363
194,No,14.89835355,1,31065.17,9,2,No,Month-to-month,No,10.25635754,174.961766,1261.032763
195,Yes,13.62135046,1,32097.17,14,1,No,Month-to-month,Yes,3.892407013,202.443347,741.7766988
196,Yes,14.95912113,1,23424.88,12,2,No,Two Year,No,3.226996711,210.12704,932.6084359
197,No,11.741245,0,35988.24,9,0,No,One year,No,15.87685513,139.979239,1708.614019
198,No,7.765121655,1,35539.7,11,0,No,Two Year,No,5.874064017,139.965008,1363.58603
199,No,7.130431693,0,27959.34,5,1,No,Month-to-month,No,3.756359276,137.439154,472.1057019
200,No,8.359515606,0,52232.97,13,1,No,Month-to-month,No,2.905283283,102.474625,558.2340556
201,Yes,9.42799205,0,18198.59,17,3,No,Month-to-month,Yes,1.474810061,252.637807,815.194738
202,Yes,10.95510131,1,16851.94,11,0,No,Month-to-month,Yes,18.56165869,194.999168,2007.303617
203,Yes,10.8621377,0,16440.05,16,1,No,Month-to-month,Yes,12.39088509,242.610632,2088.48083
204,No,7.352533505,0,44223.58,15,2,No,Month-to-month,No,14.17192333,127.458638,1430.761492
205,No,11.38860234,0,33343.73,14,1,No,Two Year,No,3.86023041,129.976324,822.3008694
206,Yes,9.580144161,0,30664.56,13,4,No,One year,Yes,17.72593456,240.114868,2059.200998
207,No,10.79191234,0,31934.04,18,1,No,Month-to-month,No,3.043063167,174.975543,617.542543
208,No,9.982341124,0,26676.4,8,0,No,One year,Yes,5.827112819,169.944668,758.4775985
209,Yes,6.511921085,1,67211.95,12,0,No,Month-to-month,Yes,4.648958177,162.511928,894.6733856
210,No,10.70500472,0,31136.77,14,1,No,Month-to-month,No,11.96274778,119.95684,1639.898269
211,No,11.58410296,1,40660.84,11,0,No,Month-to-month,No,4.525864256,137.439154,710.7541633
212,No,8.01651453,1,10606.59,12,1,Yes,Two Year,Yes,8.038308899,207.46728,1092.226042
213,No,15.12148226,0,92447.71,12,0,No,One year,Yes,1.416592892,149.974105,757.0097075
214,No,12.63643487,0,13612.16,18,0,No,Month-to-month,No,19.83504645,225.178625,2301.850721
215,Yes,16.68178185,0,13765.39,8,2,No,Month-to-month,Yes,15.85002222,232.637807,2401.406545
216,No,11.08409914,1,53019.98,10,2,No,Month-to-month,No,15.94935291,117.472036,1535.788894
217,No,12.99948061,1,42523.02,12,1,No,Month-to-month,Yes,11.94550648,137.469817,1536.589816
218,No,11.17949466,1,52143.7,14,1,No,Month-to-month,No,16.03360405,220.132293,2153.778421
219,No,7.369412654,1,19097.94,13,0,No,Two Year,Yes,21.29342532,124.960655,2409.195918
220,No,9.84688181,0,11301.4,11,0,Yes,One year,Yes,4.95598008,199.990219,1342.862457
221,Yes,18.19542503,0,17814.0,14,0,No,Month-to-month,Yes,2.73951266,159.947583,1046.054674
222,Yes,13.53989069,1,22533.05,13,1,No,One year,No,4.973046104,245.145743,1204.479468
223,Yes,5.458806701,0,19974.4,10,2,No,Month-to-month,Yes,10.28430068,255.155493,1616.908193
224,No,12.0772854,1,45146.99,11,1,No,Two Year,No,2.581692044,134.950905,345.0099528
225,Yes,6.918984305,0,10330.1,9,1,No,Month-to-month,Yes,6.945736396,159.947583,1427.088655
226,No,14.84155042,0,15281.28,8,3,No,Month-to-month,Yes,9.999416271,139.987503,1452.334634
227,Yes,12.66717474,0,11217.96,15,2,No,Month-to-month,Yes,6.035737465,179.947583,795.4957358
228,No,11.43786808,1,17516.0,13,0,No,Month-to-month,No,9.004964377,127.473844,1333.894229
229,Yes,6.915228797,0,20566.64,10,1,No,One year,Yes,5.071456681,232.637807,1402.20491
230,Yes,11.30215199,1,36128.68,12,1,No,Month-to-month,Yes,12.02106494,195.006206,1447.196935
231,Yes,9.513085538,0,52129.84,10,1,Yes,Month-to-month,Yes,5.049303717,267.642733,1662.510936
232,No,9.497106973,0,25985.06,11,1,No,Two Year,No,18.17247008,149.959755,1707.641161
233,Yes,12.21852573,0,10909.79,15,2,No,Two Year,Yes,15.31997698,220.114868,2181.752793
234,No,8.272244827,0,41151.14,11,3,No,Month-to-month,Yes,16.0708543,157.483594,1575.683555
235,No,10.24857935,0,64063.23,14,3,No,Two Year,No,7.873371451,127.474951,1029.489242
236,No,6.743431946,1,20414.07,12,1,Yes,Two Year,No,23.62866494,139.981577,2370.184448
237,Yes,12.4703522,0,41412.1,8,1,No,Month-to-month,Yes,25.8634566,255.133571,3309.919373
238,Yes,7.913676085,0,99195.08,16,1,No,One year,Yes,9.405224809,194.966286,1623.273925
239,No,9.362849722,0,18408.94,12,2,Yes,Month-to-month,Yes,12.84490034,179.965581,1146.199921
240,Yes,17.41324465,1,15930.45,10,0,Yes,Month-to-month,Yes,16.59325254,174.976769,2229.268031
241,No,13.43700846,0,25611.29,11,0,No,Month-to-month,No,20.35456039,187.609354,2512.36494
242,No,11.95206054,1,9428.86,7,0,No,Month-to-month,No,12.00925702,169.937833,1297.388488
243,No,4.550449856,1,3810.16,17,2,No,Month-to-month,Yes,2.861423443,115.002061,283.39178
244,Yes,6.09060584,0,118022.06,11,2,Yes,Month-to-month,Yes,14.20349453,152.462354,1947.7853
245,Yes,10.2863601,1,51992.79,10,1,No,Month-to-month,No,4.98152586,207.609354,849.1972541
246,No,11.17709222,2,79993.43,12,0,No,Month-to-month,Yes,23.12150846,147.503078,2131.359827
247,No,14.12145884,0,37706.85,14,0,Yes,Two Year,No,6.307178205,200.118516,1464.035068
248,No,7.799780591,0,22466.53,13,1,No,One year,Yes,12.73622643,137.497825,1381.538548
249,No,7.122072827,0,16608.27,14,0,No,Two Year,Yes,12.00466914,134.980139,1248.626874
250,No,9.329902365,0,25146.14,6,0,Yes,One year,No,2.243757398,147.442069,558.3751762
251,No,7.509389052,0,58882.35,18,0,No,One year,Yes,1.583394702,197.494455,676.2178659
252,No,15.06990851,0,31809.46,14,2,No,One year,Yes,14.23487852,162.529926,1641.938696
253,Yes,9.321265424,0,27235.54,14,0,No,Month-to-month,No,15.28108311,210.151777,1811.964373
254,Yes,3.564651961,0,70476.82,9,2,No,Month-to-month,Yes,4.135827839,159.965581,1066.632555
255,Yes,7.779622319,0,49396.09,12,3,No,Month-to-month,No,9.740709475,190.173699,1514.131966
256,Yes,10.74985413,1,35060.94,8,0,No,Two Year,No,1.213704886,202.649979,1189.549671
257,No,7.738373361,0,66055.53,11,2,No,Month-to-month,No,11.86252419,134.950905,1114.020282
258,No,12.01267388,0,91335.76,11,1,No,One year,No,2.416685985,142.500692,1078.291303
259,No,14.04748759,1,54349.75,21,0,Yes,Month-to-month,No,6.73327535,114.997564,854.2977548
260,Yes,3.11231175,1,75042.1,12,1,No,Two Year,Yes,6.549035393,232.62403,1489.077486
261,Yes,8.284591121,0,91001.1,8,1,No,Month-to-month,No,10.57197066,242.628057,1649.312808
262,Yes,6.269792565,0,44426.28,20,0,No,Month-to-month,Yes,3.379756569,202.443347,905.1959227
263,No,9.803905459,1,63284.16,16,1,No,Two Year,Yes,8.959047529,124.993537,684.6318529
264,No,8.571019738,0,14039.21,5,1,No,Two Year,Yes,10.23679934,174.976769,1662.533055
265,Yes,10.00344746,1,12453.24,14,0,No,Month-to-month,No,14.96503088,225.145743,2436.57146
266,Yes,4.255224068,1,15934.12,12,0,No,One year,Yes,23.79323993,275.133571,2677.74041
267,Yes,11.2714618,0,48314.4,14,1,No,Month-to-month,Yes,11.45675389,287.642733,1779.309609
268,Yes,8.477982632,0,5511.77,19,0,No,Month-to-month,No,11.04076215,177.65076,1494.716409
269,Yes,9.753145376,1,10701.11,19,0,No,Month-to-month,Yes,7.425503428,220.114868,1740.72604
270,Yes,14.57387887,0,10767.15,13,0,No,One year,Yes,2.411712843,197.516854,704.7552669
271,No,13.13441554,1,13493.63,15,1,No,One year,Yes,2.009542213,194.974431,558.4710883
272,Yes,11.62771397,0,25071.58,15,0,No,Month-to-month,No,9.068119482,175.133074,1282.279049
273,Yes,6.114030983,1,368.5,11,0,No,Month-to-month,Yes,1.926789854,147.478341,287.8189836
274,No,12.76603868,1,27976.63,8,2,No,Two Year,Yes,11.77389421,134.980139,1129.529441
275,No,6.348897952,0,56154.5,10,3,No,One year,Yes,2.585228303,157.483594,394.0148722
276,No,16.10939031,1,62145.59,9,2,No,One year,Yes,9.517703088,255.141716,1302.230824
277,No,7.151598137,0,6517.94,13,0,No,Two Year,No,9.532523799,137.439154,970.4682919
